moviecode,ott,title,title_en,title_ori,showTm,genre,grade,peopleNm,sale,audi,screen,openDt,staff_cnt,평점,direc_grade
20136068,"['왓챠', '넷플릭스', '티빙', '웨이브']",히말라야,The Himalayas,,127,드라마,12세이상관람가,이석훈,4.02E+11,51813065,3673,2015-12-16,410,6.6,10
20150025,"['왓챠', '티빙', '웨이브']",내부자들: 디 오리지널,Inside Men: The Original,,180,"범죄,드라마",청소년관람불가,우민호,1.18E+11,14495472,3613,2015-12-31,3,9,9
20149314,"['왓챠', '넷플릭스', '티빙', '웨이브']",내부자들,Inside Men,,130,"범죄,드라마",청소년관람불가,우민호,1.13E+11,14137958,491,2015-11-19,311,8.2,9
20168773,"['넷플릭스', '티빙', '웨이브']",마약왕,The Drug King,,139,"범죄,드라마",청소년관람불가,우민호,58666355568,6726040,3180,2018-12-19,505,5.5,9
20144442,"['왓챠', '티빙', '웨이브']",조선마술사,The Magician,,122,드라마,12세이상관람가,김대승,17615948308,2381871,1390,2015-12-30,438,6.3,4
20145171,"['넷플릭스', '웨이브']",대호,The Tiger,,139,사극,12세이상관람가,박훈정,53542024728,6991441,993,2015-12-16,521,7.8,9
20164174,['왓챠'],브이아이피,V.I.P.,,127,"범죄,드라마",청소년관람불가,박훈정,51048276131,6366785,2707,2017-08-23,527,6.1,9
20185341,['웨이브'],마녀,The Witch : Part 1. The Subversion,,125,"미스터리,액션",15세이상관람가,박훈정,1.52E+11,17781126,4669,2018-06-27,419,8,9
20124401,"['넷플릭스', '웨이브']",신세계,New World,,134,"범죄,액션",청소년관람불가,박훈정,34892973605,4684571,22,2013-02-21,308,8.6,9
20156807,['왓챠'],뽀로로 극장판 컴퓨터 왕국 대모험,Pororo3 :  Cyber Space Adventure,,62,애니메이션,전체관람가,박영균,16229563100,2188803,335,2015-12-10,196,8,5
20142641,"['왓챠', '넷플릭스', '티빙']",나를 잊지 말아요,Remember You,,106,멜로/로맨스,15세이상관람가,이윤정,12577850600,1568349,1339,2016-01-07,244,6.3,1
20157501,"['넷플릭스', '왓챠', '티빙']",극적인 하룻밤,LOVE GUIDE FOR DUMPEES,,107,"멜로/로맨스,코미디",청소년관람불가,하기호,2616499429,321616,7,2015-12-03,279,6.7,5
19750002,[],애수의 샌프란시스코,Sad San Francisco,,96,멜로/로맨스,전체관람가,정소영,796000,405,1,1975-03-28,0,3.25,4
19700035,[],미워도 다시 한번 3,Farewell My Love (Part Three),,91,"드라마,멜로/로맨스",12세이상관람가,정소영,9322000,4661,3,1970-01-01,0,6.2,4
19800019,['왓챠'],너는 내 운명,You Are My Destiny,,95,"드라마,멜로/로맨스",연소자관람불가,정소영,1312000,656,1,1980-03-28,5,8.9,4
20152370,"['왓챠', '티빙', '웨이브']",잡아야 산다,Chasing,,96,"코미디,액션",15세이상관람가,오인천,722905000,95088,427,2016-01-07,172,3.8,1
20068576,"['왓챠', '넷플릭스', '티빙', '웨이브']",그날의 분위기,Mood of the Day,,103,멜로/로맨스,15세이상관람가,조규장,28010980672,3539761,1640,2016-01-14,249,5.9,7
20170670,"['넷플릭스', '웨이브']",목격자,The Witness,,111,스릴러,15세이상관람가,조규장,95714310361,11072236,3656,2018-08-15,289,5.4,7
20151021,['웨이브'],순정,UNFORGETTABLE,,113,드라마,12세이상관람가,이은희,8593153465,1183698,998,2016-02-24,243,8.3,4
20150566,[],극장판 꼬마버스 타요의 에이스 구출작전,THE TAYO MOVIE MISSION : ACE,,48,애니메이션,전체관람가,류정우,3769705800,561495,522,2016-01-21,167,8.8,7
20145507,"['왓챠', '넷플릭스', '티빙', '웨이브']",검사외전,A Violent Prosecutor,,126,"범죄,코미디",15세이상관람가,이일형,6.25E+11,78424737,6654,2016-02-03,430,6.5,10
20158482,"['넷플릭스', '티빙', '웨이브']",동주,DONGJU; The Portrait of A Poet,,110,드라마,12세이상관람가,이준익,1.62E+11,21410874,2845,2016-02-17,128,8.9,8
20148846,"['넷플릭스', '왓챠', '티빙', '웨이브']",사도,The Throne,,125,사극,12세이상관람가,이준익,48845771501,6247607,1,2015-09-16,345,7.9,8
20178982,"['티빙', '웨이브']",박열,Anarchist from the colony,,128,드라마,12세이상관람가,이준익,1.49E+11,19386924,4031,2017-06-28,340,8,8
20159657,[],최강전사 미니특공대: 영웅의 탄생,Mini Force : New Heroes Rise,,68,애니메이션,전체관람가,이영준,2837265500,377602,874,2016-02-04,105,8.1,3
20181366,[],미니특공대X,Mini Force X,,67,애니메이션,전체관람가,이영준,3227723300,431355,1031,2018-03-22,161,4,3
