moviecode,ott,title,title_en,title_ori,showTm,genre,grade,peopleNm,sale,audi,screen,openDt,staff_cnt,평점
20136068,"['왓챠', '넷플릭스', '티빙', '웨이브']",히말라야,The Himalayas,,127,드라마,12세이상관람가,이석훈,4.02E+11,51813065,3673,2015-12-16,410,6.6
20150025,"['왓챠', '티빙', '웨이브']",내부자들: 디 오리지널,Inside Men: The Original,,180,"범죄,드라마",청소년관람불가,우민호,1.18E+11,14495472,3613,2015-12-31,3,9
20144442,"['왓챠', '티빙', '웨이브']",조선마술사,The Magician,,122,드라마,12세이상관람가,김대승,17615948308,2381871,1390,2015-12-30,438,6.3
20145171,"['넷플릭스', '웨이브']",대호,The Tiger,,139,사극,12세이상관람가,박훈정,53542024728,6991441,993,2015-12-16,521,7.8
20149314,"['왓챠', '넷플릭스', '티빙', '웨이브']",내부자들,Inside Men,,130,"범죄,드라마",청소년관람불가,우민호,1.13E+11,14137958,491,2015-11-19,311,8.2
20156807,['왓챠'],뽀로로 극장판 컴퓨터 왕국 대모험,Pororo3 :  Cyber Space Adventure,,62,애니메이션,전체관람가,박영균,16229563100,2188803,335,2015-12-10,196,8
20142641,"['왓챠', '넷플릭스', '티빙']",나를 잊지 말아요,Remember You,,106,멜로/로맨스,15세이상관람가,이윤정,12577850600,1568349,1339,2016-01-07,244,6.3
20157501,"['넷플릭스', '왓챠', '티빙']",극적인 하룻밤,LOVE GUIDE FOR DUMPEES,,107,"멜로/로맨스,코미디",청소년관람불가,하기호,2616499429,321616,7,2015-12-03,279,6.7
19750002,[],애수의 샌프란시스코,Sad San Francisco,,96,멜로/로맨스,전체관람가,정소영,796000,405,1,1975-03-28,0,3.25
20152370,"['왓챠', '티빙', '웨이브']",잡아야 산다,Chasing,,96,"코미디,액션",15세이상관람가,오인천,722905000,95088,427,2016-01-07,172,3.8
20068576,"['왓챠', '넷플릭스', '티빙', '웨이브']",그날의 분위기,Mood of the Day,,103,멜로/로맨스,15세이상관람가,조규장,28010980672,3539761,1640,2016-01-14,249,5.9
20158483,[],오빠생각,A Melody to Remember,,123,"드라마,전쟁",12세이상관람가,이한,42465229998,5612838,2780,2016-01-21,339,8.3
20151021,['웨이브'],순정,UNFORGETTABLE,,113,드라마,12세이상관람가,이은희,8593153465,1183698,998,2016-02-24,243,8.3
20150566,[],극장판 꼬마버스 타요의 에이스 구출작전,THE TAYO MOVIE MISSION : ACE,,48,애니메이션,전체관람가,류정우,3769705800,561495,522,2016-01-21,167,8.8
20157466,"['왓챠', '티빙', '웨이브']","로봇, 소리",SORI: Voice from the Heart,,117,드라마,12세이상관람가,이호재,12193707685,1651645,1756,2016-01-27,277,7.6
20145507,"['왓챠', '넷플릭스', '티빙', '웨이브']",검사외전,A Violent Prosecutor,,126,"범죄,코미디",15세이상관람가,이일형,6.25E+11,78424737,6654,2016-02-03,430,6.5
20158482,"['넷플릭스', '티빙', '웨이브']",동주,DONGJU; The Portrait of A Poet,,110,드라마,12세이상관람가,이준익,1.62E+11,21410874,2845,2016-02-17,128,8.9
20159657,[],최강전사 미니특공대: 영웅의 탄생,Mini Force : New Heroes Rise,,68,애니메이션,전체관람가,이영준,2837265500,377602,874,2016-02-04,105,8.1
20150903,[],번개맨,Bungaeman,,72,"판타지,가족",전체관람가,조근현,1923043300,254895,727,2016-02-11,279,5.8
20150977,"['왓챠', '넷플릭스', '티빙', '웨이브']",좋아해줘,Like for Likes,,122,"멜로/로맨스,코미디",12세이상관람가,박현진,29124410685,3755094,1784,2016-02-17,283,8
20161364,"['왓챠', '티빙', '웨이브']",귀향,Spirits' Homecoming,,127,드라마,15세이상관람가,조정래,2.14E+11,28146698,4315,2016-02-24,204,9.7
20145502,['왓챠'],남과 여,A Man and A Woman,,115,멜로/로맨스,청소년관람불가,이윤기,7524302465,926612,1029,2016-02-25,238,7.5
20152541,"['왓챠', '넷플릭스', '티빙', '웨이브']",무수단,MUSUDAN,,87,"미스터리,스릴러",15세이상관람가,구모,244607300,30286,419,2016-03-03,164,3.2
20145396,['웨이브'],널 기다리며,Missing You,,108,스릴러,청소년관람불가,모홍진,22733841460,2747708,1794,2016-03-10,269,7.4
20157105,[],수상한 언니들,Summer of Director Oh,,97,"멜로/로맨스,코미디",청소년관람불가,노진수,2583000,466,21,2016-03-03,40,6.7
20161722,[],히야,HIYA,,108,드라마,12세이상관람가,김지연,319532500,39706,224,2016-03-10,167,9.2
20162381,"['왓챠', '티빙', '웨이브']",일사각오,,,115,드라마,12세이상관람가,"권혁만,고문안",5605023700,769243,368,2016-03-17,95,9.2
19850051,[],땡볕,Blazing Sun,,90,"드라마,사극",연소자관람불가,하명중,2606000,1303,1,1985-08-01,9,5.2
20152782,[],"날, 보러와요",INSANE,,90,"미스터리,스릴러",청소년관람불가,이철하,44472020524,5334514,2465,2016-04-07,182,6.2
20150902,"['왓챠', '티빙', '웨이브']",대배우,THE GREAT ACTOR,,108,코미디,12세이상관람가,석민우,4656738912,632280,1085,2016-03-30,245,6.1
20148841,"['티빙', '웨이브']",헬머니,Granny's Got Talent,,108,코미디,청소년관람불가,신한솔,4121861972,523494,1,2015-03-05,226,6.9
19580061,[],별아 내 가슴에,The Star In My Heart,,110,멜로/로맨스,,홍성기,6524000,1512,1,1958-05-31,4,6.7
20145506,"['왓챠', '넷플릭스', '티빙', '웨이브']",해어화,"LOVE, LIES",,120,"사극,드라마",15세이상관람가,박흥식,19935584602,2556656,1880,2016-04-13,323,6.7
20162431,[],극장판 프랭키와 친구들: 생명의 나무,Franky and Friends: A Tree of Life,,71,애니메이션,전체관람가,박정오,2471362500,329378,553,2016-04-13,68,8.4
20159641,['웨이브'],위대한 소원,THE LAST RIDE,,93,"코미디,드라마",15세이상관람가,남대중,8859296887,1111309,1460,2016-04-21,181,8
